name,type,test_categories,sample_type,test_details,description_in_english,description_in_urdu
Protein-C,Test,Chem & Immuno,Plasma (Sodium Citrate / Blue Vial),,"This test measures the level of protein C in your blood. Protein C helps your blood clot normally. If you have too little protein C (protein C deficiency), it means that your blood may clot too much.",یہ ٹیسٹ آپ کے خون میں پروٹین سی کی سطح کی پیمائش کرتا ہے۔ پروٹین سی عام طور پر آپ کے خون کے جمنے میں مدد کرتا ہے۔ اگر آپ کے پاس پروٹین سی (پروٹین سی کی کمی) بہت کم ہے تو اس کا مطلب ہے کہ آپ کا خون بہت زیادہ جم سکتا ہے۔
Protein-S,Test,Chem & Immuno,Plasma (Sodium Citrate / Blue Vial),,Protein S is a normal substance in your body that prevents blood clotting. A blood test can be done to see how much of this protein you have in your blood.,پروٹین ایس آپ کے جسم میں ایک عام مادہ ہے جو خون کے جمنے کو روکتا ہے۔ آپ کے خون میں اس پروٹین کی مقدار کو دیکھنے کے لیے خون کا ٹیسٹ کیا جا سکتا ہے۔
PT with INR,Test,Hematology,Plasma (Sodium Citrate / Blue Vial),,A prothrombin time (PT) test measures how long it takes for a clot to form in a blood sample. An INR (international normalized ratio) is a type of calculation based on PT test results. , پروتھرومبن ٹائم (PT) ٹیسٹ اس بات کا اندازہ لگاتا ہے کہ خون کے نمونے میں کلٹ بننے میں کتنا وقت لگتا ہے۔ INR (بین الاقوامی نارملائزڈ ریشو) پی ٹی ٹیسٹ کے نتائج پر مبنی حساب کی ایک قسم ہے۔
Pus For AFB Stain / ZN Stain,Test,Microbiology,Body Fluid,,AFB stain is a differential stain used mainly to detect many acid-fast bacilli mainly Mycobacterium that may cause tuberculosis (Mycobacterium tuberculosis). This is recommended for the preliminary diagnosis of Mycobacterium tuberculosis infection by direct method.,AFB داغ ایک امتیازی داغ ہے جو بنیادی طور پر بہت سے تیزابی تیز بیسیلی کا پتہ لگانے کے لیے استعمال ہوتا ہے خاص طور پر مائکوبیکٹیریم جو تپ دق (مائکوبیکٹیریم تپ دق) کا سبب بن سکتا ہے۔ براہ راست طریقہ سے مائکوبیکٹیریم تپ دق کے انفیکشن کی ابتدائی تشخیص کے لیے اس کی سفارش کی جاتی ہے۔
Pus for AFB  Sensitivity aerobic and anaerobic,Test,Microbiology,Body Fluid,,A sterile swab may be used to collect cells or pus from a superficial wound to allow for the recovery of aerobic and anaerobic bacteria.,ایک جراثیم سے پاک جھاڑو کا استعمال سطحی زخم سے خلیات یا پیپ کو جمع کرنے کے لیے کیا جا سکتا ہے تاکہ ایروبک اور انیروبک بیکٹیریا کی بحالی ممکن ہو سکے۔
Pus For AFB C/S (Mycobacterium Tuberculosis),Test,Microbiology,Body Fluid,,Acid-fast Bacilli culture & smear test is one of the TB culture and sensitivity tests where the Mycobacterial infection is diagnosed on the blood sample. It is divided into two parts and if one is positive or anyone is positive then to know the complete infection the second one is done.,ایسڈ فاسٹ بیسیلی کلچر اور سمیر ٹیسٹ ٹی بی کلچر اور حساسیت کے ٹیسٹوں میں سے ایک ہے جہاں خون کے نمونے پر مائکوبیکٹیریل انفیکشن کی تشخیص کی جاتی ہے۔ اسے دو حصوں میں تقسیم کیا گیا ہے اور اگر ایک مثبت ہے یا کوئی مثبت ہے تو مکمل انفیکشن جاننے کے لیے دوسرا کیا جاتا ہے۔
Pus for C/S (Bacterial Culture & sensitivity),Test,Microbiology,Body Fluid,,The test is done on a sample of pus to identify the presence of the pathogenic organism in the pus. A culture of a sample is done to find germs (bacteria or fungus) present in it.,ٹیسٹ پیپ کے نمونے پر کیا جاتا ہے تاکہ پیپ میں روگجنک جاندار کی موجودگی کی نشاندہی کی جا سکے۔ نمونے کی ثقافت اس میں موجود جراثیم (بیکٹیریا یا فنگس) کو تلاش کرنے کے لیے کی جاتی ہے۔
Pus For Cytology,Test,Histopathology,Body Fluid,,"The sensitivity analysis, also known as susceptibility testing, determines the bacteria's “sensitivity” to an antibiotic. It aids the doctor in selecting the most effective antibiotic.","حساسیت کا تجزیہ، جسے حساسیت کی جانچ بھی کہا جاتا ہے، اینٹی بائیوٹک کے لیے بیکٹیریا کی ""حساسیت"" کا تعین کرتا ہے۔ یہ سب سے مؤثر اینٹی بائیوٹک کے انتخاب میں ڈاکٹر کی مدد کرتا ہے۔"
Pus Swab For  AFB Stain / ZN Stain,Test,Microbiology,Swab,,AFB stain is a differential stain used mainly to detect many acid-fast bacilli mainly Mycobacterium that may cause tuberculosis (Mycobacterium tuberculosis). This is recommended for the preliminary diagnosis of Mycobacterium tuberculosis infection by direct method.,AFB داغ ایک امتیازی داغ ہے جو بنیادی طور پر بہت سے تیزابی تیز بیسیلی کا پتہ لگانے کے لیے استعمال ہوتا ہے خاص طور پر مائکوبیکٹیریم جو تپ دق (مائکوبیکٹیریم تپ دق) کا سبب بن سکتا ہے۔ براہ راست طریقہ سے مائکوبیکٹیریم تپ دق کے انفیکشن کی ابتدائی تشخیص کے لیے اس کی سفارش کی جاتی ہے۔
Pus Swab For  C/S (Bacterial Culture & sensitivity),Test,Microbiology,Swab,,The test is done on a sample of pus to identify the presence of the pathogenic organism in the pus. A culture of a sample is done to find germs (bacteria or fungus) present in it.,ٹیسٹ پیپ کے نمونے پر کیا جاتا ہے تاکہ پیپ میں روگجنک جاندار کی موجودگی کی نشاندہی کی جا سکے۔ نمونے کی ثقافت اس میں موجود جراثیم (بیکٹیریا یا فنگس) کو تلاش کرنے کے لیے کی جاتی ہے۔
Pus Swab For Gram Stain,Test,Microbiology,Swab,,"The safranine is the counter-stain that stains everything in the smear that has been decolorized: pus cells, mucus, gram-negative organisms. The gram-negative organisms will stain a much deeper pink than the pus cells, and mucus will stain even lighter pink than the pus cells.","سیفرانائن ایک انسداد داغ ہے جو داغ کی ہر اس چیز کو داغ دیتا ہے جس کی رنگت خراب ہو گئی ہے: پیپ کے خلیات، بلغم، گرام منفی جاندار۔ گرام منفی جاندار پیپ کے خلیات سے کہیں زیادہ گہرے گلابی رنگ کے داغ لگائیں گے، اور بلغم پیپ کے خلیوں سے بھی ہلکے گلابی رنگ کا داغ دے گا۔"
Rapid Plasma reagin (RPR),Test,Microbiology,Serum (Gel / Yellow Vial),,RPR (rapid plasma reagin) is a screening test for syphilis . It measures substances (proteins) called antibodies that are present in the blood of people who may have the disease.,آر پی آر (ریپڈ پلازما ریگین) آتشک کے لیے ایک اسکریننگ ٹیسٹ ہے۔ یہ ان مادوں (پروٹینز) کی پیمائش کرتا ہے جسے اینٹی باڈیز کہتے ہیں جو ان لوگوں کے خون میں موجود ہوتے ہیں جن کو یہ بیماری ہو سکتی ہے۔
RBC,Test,Hematology,Plasma (EDTA / Purple Tube),,"A red blood cell (RBC) count is a blood test that tells you how many red blood cells you have. Red blood cells contain a substance called haemoglobin, which transports oxygen around the body.",سرخ خون کے خلیے (RBC) کی گنتی ایک خون کا ٹیسٹ ہے جو آپ کو بتاتا ہے کہ آپ کے خون کے کتنے سرخ خلیے ہیں۔ سرخ خون کے خلیوں میں ہیموگلوبن نامی مادہ ہوتا ہے جو جسم کے گرد آکسیجن پہنچاتا ہے۔
RBC Morphology,Test,Hematology,Plasma (EDTA / Purple Tube),,Evaluation and interpretation of red blood cell (RBC) morphology is an important component of a complete blood count (CBC). RBC morphology may provide important diagnostic information regarding the underlying cause of anemia and systemic.,سرخ خون کے خلیے (RBC) مورفولوجی کی تشخیص اور تشریح خون کی مکمل گنتی (CBC) کا ایک اہم جزو ہے۔ آر بی سی مورفولوجی خون کی کمی اور سیسٹیمیٹک کی بنیادی وجہ سے متعلق اہم تشخیصی معلومات فراہم کر سکتی ہے۔
Red Cell Folic Acid (RBC Folate Level),Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"A folate test measures the amount of folate in the blood. Folate is one of many B vitamins. The body needs folate for normal growth and to make red blood cells (RBC), white blood cells (WBC), and platelets. Folate also is important for the normal development of a baby (fetus).","ایک فولیٹ ٹیسٹ خون میں فولیٹ کی مقدار کی پیمائش کرتا ہے۔ فولیٹ بی وٹامنز میں سے ایک ہے۔ جسم کو عام نشوونما کے لیے اور خون کے سرخ خلیات (RBC)، سفید خون کے خلیات (WBC) اور پلیٹلیٹس بنانے کے لیے فولیٹ کی ضرورت ہوتی ہے۔ فولیٹ بچے (جنین) کی معمول کی نشوونما کے لیے بھی اہم ہے۔"
Reducing Substance (Urine Random/Spot),Test,Microbiology,Urine,,"Reducing substances are not normally present in urine and faeces. This test will detect the presence of reducing sugars, eg glucose, lactose, maltose, fructose and galactose. The test is normally carried out on children who fail to thrive and who could be lactose intolerant.","کم کرنے والے مادے عام طور پر پیشاب اور پاخانے میں موجود نہیں ہوتے ہیں۔ یہ ٹیسٹ کم کرنے والی شکر کی موجودگی کا پتہ لگائے گا، مثلاً گلوکوز، لییکٹوز، مالٹوز، فرکٹوز اور گلیکٹوز۔ یہ ٹیسٹ عام طور پر ان بچوں پر کیا جاتا ہے جو نشوونما پانے میں ناکام رہتے ہیں اور جو لییکٹوز عدم برداشت کا شکار ہو سکتے ہیں۔"
Renin Level,Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,Plasma renin activity (PRA) is measured as part of the diagnosis and treatment of hypertension (high blood pressure). Patients with primary hyperaldosteronism will have increased aldosterone (for more information see the aldosterone test) production associated with a decreased PRA.,پلازما رینن کی سرگرمی (PRA) کو ہائی بلڈ پریشر (ہائی بلڈ پریشر) کی تشخیص اور علاج کے حصے کے طور پر ماپا جاتا ہے۔ پرائمری ہائپرالڈوسٹیرونزم کے مریضوں میں الڈوسٹیرون (مزید معلومات کے لیے ایلڈوسٹیرون ٹیسٹ دیکھیں) کی پیداوار میں کمی PRA سے وابستہ ہوگی۔
Reticulocytes,Test,Hematology,Plasma (EDTA / Purple Tube),,A reticulocyte count measures the number of immature red blood cells (reticulocytes) in your bone marrow. Doctors measure reticulocytes to find out if your bone marrow is producing enough red blood cells. This test is one of many ways to diagnose and monitor conditions that affect your red blood cells.,ریٹیکولوسائٹ کی گنتی آپ کے بون میرو میں ناپختہ سرخ خون کے خلیات (ریٹیکولوسائٹس) کی تعداد کی پیمائش کرتی ہے۔ ڈاکٹر یہ معلوم کرنے کے لیے ریٹیکولوسائٹس کی پیمائش کرتے ہیں کہ آیا آپ کا بون میرو کافی سرخ خون کے خلیے بنا رہا ہے۔ یہ ٹیسٹ آپ کے خون کے سرخ خلیات کو متاثر کرنے والے حالات کی تشخیص اور نگرانی کرنے کے بہت سے طریقوں میں سے ایک ہے۔
RH Antibodies (Anti D Antibodies) ,Test,Blood Bank-Transfusion Medicine,Serum (Gel / Yellow Vial),,"The Rh antibodies screening test is a blood test. It checks your blood for Rh antibodies. If you have Rh-negative blood and have been exposed to Rh-positive blood, your immune system may make antibodies to attack the Rh-positive blood.","Rh اینٹی باڈیز اسکریننگ ٹیسٹ خون کا ٹیسٹ ہے۔ یہ Rh اینٹی باڈیز کے لیے آپ کے خون کی جانچ کرتا ہے۔ اگر آپ کا خون Rh- منفی ہے اور آپ کو Rh- مثبت خون کا سامنا ہے، تو آپ کا مدافعتی نظام Rh- مثبت خون پر حملہ کرنے کے لیے اینٹی باڈیز بنا سکتا ہے۔"
Rheumatoid factor (RA factor) - Quantitative,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A rheumatoid factor test measures the amount of rheumatoid factor in your blood. Rheumatoid factors are proteins produced by your immune system that can attack healthy tissue in your body.,ریمیٹائڈ فیکٹر ٹیسٹ آپ کے خون میں ریمیٹائڈ فیکٹر کی مقدار کی پیمائش کرتا ہے۔ ریمیٹائڈ عوامل آپ کے مدافعتی نظام کے ذریعہ تیار کردہ پروٹین ہیں جو آپ کے جسم میں صحت مند بافتوں پر حملہ کرسکتے ہیں۔
Ristocetin Cofactor Activity,Test,Chem & Immuno,Plasma (Sodium Citrate / Blue Vial),,The Von Willebrand Ristocetin Cofactor [vWF:RCo] assay measures the ability of a plasma sample to agglutinate platelets in the presence of the antibiotic Ristocetin. The rate of Ristocetin induced agglutination is related to the concentration and functional activity of the plasma von Willebrand facto,Von Willebrand Ristocetin Cofactor [vWF:RCo] پرکھ اینٹی بائیوٹک رسٹوکیٹن کی موجودگی میں پلیٹلیٹس کو جمع کرنے کے لیے پلازما کے نمونے کی صلاحیت کی پیمائش کرتا ہے۔ Ristocetin induced agglutination کی شرح پلازما وان ولیبرانڈ حقیقت کے ارتکاز اور فعال سرگرمی سے متعلق ہے۔
ROS1 (Q-PCR),Test,Molecular,Others,,"A ROS1-positive lung cancer, also known as a ROS1 rearrangement in lung cancer, refers to any lung cancer that tests positive for a fusion in the ROS1 gene. ROS1 rearrangements occur in approximately 1-2% of patients with non-small cell lung cancer.","ایک ROS1-مثبت پھیپھڑوں کا کینسر، جسے پھیپھڑوں کے کینسر میں ROS1 دوبارہ ترتیب بھی کہا جاتا ہے، کسی بھی پھیپھڑوں کے کینسر سے مراد ہے جو ROS1 جین میں فیوژن کے لیے مثبت ٹیسٹ کرتا ہے۔ ROS1 کی ترتیب نون سمال سیل پھیپھڑوں کے کینسر والے تقریباً 1-2% مریضوں میں ہوتی ہے۔"
RPOCs For C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Tissue,,"Retained products of conception (RPOC) refers to fetal or placental tissue that remains in your uterus after a pregnancy. RPOC is more common when a pregnancy ends early. RPOC can lead to bleeding, infection and other problems.","حاملہ ہونے والی مصنوعات (RPOC) سے مراد جنین یا نال کے ٹشو ہیں جو حمل کے بعد آپ کے رحم میں باقی رہتے ہیں۔ RPOC زیادہ عام ہے جب حمل جلد ختم ہو جاتا ہے۔ RPOC خون بہنے، انفیکشن اور دیگر مسائل کا باعث بن سکتا ہے۔"
Rubella IgG,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,A rubella blood test checks to see if you have antibodies to the rubella virus. A positive rubella IgG test result is good—it means that you are immune to rubella and cannot get the infection. This is the most common rubella test done.,روبیلا خون کا ٹیسٹ یہ دیکھنے کے لیے چیک کرتا ہے کہ آیا آپ کے پاس روبیلا وائرس کی اینٹی باڈیز ہیں۔ ایک مثبت روبیلا IgG ٹیسٹ کا نتیجہ اچھا ہے- اس کا مطلب ہے کہ آپ روبیلا سے محفوظ ہیں اور آپ کو انفیکشن نہیں ہو سکتا۔ یہ سب سے عام روبیلا ٹیسٹ ہے۔
Rubella IgM,Test,Chem & Immuno,Serum (Gel / Yellow Vial),,Detection of specific IgM antibodies in a serum sample collected within the first few days after rash onset can provide presumptive evidence of a current or recent rubella virus infection.,سیرم کے نمونے میں مخصوص IgM اینٹی باڈیز کا پتہ لگانا جو ددورا شروع ہونے کے بعد پہلے چند دنوں میں جمع کیا جاتا ہے اس سے موجودہ یا حالیہ روبیلا وائرس کے انفیکشن کا ممکنہ ثبوت مل سکتا ہے۔
SAAG  (Serum Ascites Albumin Gradient),Test,Chem & Immuno,Body Fluid,,"The SAAG is a physiological clinical diagnostic tool for the evaluation of ascites. An increased SAAG (> 1.1 gm/dL) value indicates the presence of portal hypertension, which is detected by observing portal hypertensive changes in the upper gastrointestinal tract.","SAAG ایک جسمانی طبی تشخیصی آلہ ہے جو جلودر کی تشخیص کے لیے ہے۔ بڑھتی ہوئی SAAG (> 1.1 gm/dL) قدر پورٹل ہائی بلڈ پریشر کی موجودگی کی نشاندہی کرتی ہے، جس کا پتہ معدے کے اوپری حصے میں پورٹل ہائی بلڈ پریشر کی تبدیلیوں کو دیکھ کر ہوتا ہے۔"
Semen  For  AFB Stain / ZN Stain,Test,Microbiology,Semen,,"On a sample of sperm, the acid-fast Bacilli culture test is one of the TB culture and sensitivity tests used to diagnose mycobacterial infection. Mycobacterium tuberculosis causes lung infection tuberculosis.","نطفہ کے نمونے پر، تیزاب سے چلنے والا بیسیلی کلچر ٹیسٹ ٹی بی کلچر اور حساسیت کے ٹیسٹوں میں سے ایک ہے جو مائکوبیکٹیریل انفیکشن کی تشخیص کے لیے استعمال ہوتا ہے۔ مائکوبیکٹیریم تپ دق پھیپھڑوں کے انفیکشن کا سبب بنتا ہے۔"
Semen Analysis,Test,Microbiology,Semen,,"A semen analysis is a lab test that evaluates sperm count, motility, morphology and more. It can be a fertility test in men or confirm that a vasectomy was successful. For accurate results, follow instructions and provide a clean sample. Abnormal results often mean that more testing is necessary.","منی کا تجزیہ ایک لیبارٹری ٹیسٹ ہے جو سپرم کی گنتی، حرکت پذیری، مورفولوجی اور بہت کچھ کا جائزہ لیتا ہے۔ یہ مردوں میں زرخیزی کا ٹیسٹ ہو سکتا ہے یا اس بات کی تصدیق کر سکتا ہے کہ نس بندی کامیاب ہو گئی تھی۔ درست نتائج کے لیے، ہدایات پر عمل کریں اور صاف نمونہ فراہم کریں۔ غیر معمولی نتائج کا اکثر مطلب یہ ہوتا ہے کہ مزید جانچ ضروری ہے۔"
Semen for C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Semen,,"Semen culture test is the laboratory test, which is done to check the presence of the microorganisms in the semen. This test is done for any male patient after the observation of their semen sample or other symptomatic conditions. When the semen sample contains white blood cells in it, doctors suggest the patient, undergoes this test.","سیمین کلچر ٹیسٹ لیبارٹری ٹیسٹ ہے، جو منی میں مائکروجنزموں کی موجودگی کو جانچنے کے لیے کیا جاتا ہے۔ یہ ٹیسٹ کسی بھی مرد مریض کے منی کے نمونے یا دیگر علامتی حالات کے مشاہدے کے بعد کیا جاتا ہے۔ جب منی کے نمونے میں خون کے سفید خلیے ہوتے ہیں تو ڈاکٹر مریض کو اس ٹیسٹ سے گزرنے کا مشورہ دیتے ہیں۔"
Semen For Gram Stain,Test,Microbiology,Semen,,This test is done to analyse semen same through gram staining to see if there is any microorganism present in it.,یہ ٹیسٹ چنے کے داغ کے ذریعے منی کا تجزیہ کرنے کے لیے کیا جاتا ہے تاکہ یہ معلوم کیا جا سکے کہ آیا اس میں کوئی مائکروجنزم موجود ہے۔
Sequestrum For C/S (Bacterial Culture & Sensitivity),Test,Microbiology,Sputum,,"The Sequestrum For C/S test is a medical diagnosis of your health which is conducted by healthcare laboratories. In this test, the lab will collect your Complete Sequestrum For C/S sample and will process it in its facility.","Sequestrum For C/S ٹیسٹ آپ کی صحت کی ایک طبی تشخیص ہے جو کہ صحت کی دیکھ بھال کرنے والی لیبارٹریز کے ذریعے کی جاتی ہے۔ اس ٹیسٹ میں، لیب C/S نمونے کے لیے آپ کا مکمل سیکوسٹرم جمع کرے گی اور اسے اپنی سہولت میں پروسیس کرے گی۔"
Serum Erythropoietin (EPO),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"Erythropoietin (EPO), a large glycoprotein hormone secreted by the kidney, regulates red blood cell (RBC) production. Normally, EPO levels vary inversely with hematocrit. Hypoxia stimulates EPO release, which, in turn, stimulates bone marrow erythrocyte production.","Erythropoietin (EPO)، ایک بڑا گلائکوپروٹین ہارمون جو گردے سے خارج ہوتا ہے، خون کے سرخ خلیے (RBC) کی پیداوار کو منظم کرتا ہے۔ عام طور پر، ای پی او کی سطح ہیماتوکریٹ کے ساتھ الٹا مختلف ہوتی ہے۔ ہائپوکسیا ای پی او کی رہائی کو متحرک کرتا ہے، جس کے نتیجے میں، بون میرو ایریٹروسائٹ کی پیداوار کو تحریک ملتی ہے۔"
Sex Hormone Binding Globulin (SHBG),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"An SHBG test is most often used to find out how much testosterone is going to the body's tissues. Testosterone levels can be measured in a separate test called total testosterone. This test shows how much testosterone is in the body, but not how much is being used by the body.","ایک SHBG ٹیسٹ اکثر یہ معلوم کرنے کے لیے استعمال کیا جاتا ہے کہ جسم کے ٹشوز میں ٹیسٹوسٹیرون کتنا جا رہا ہے۔ ٹیسٹوسٹیرون کی سطح کو ایک علیحدہ ٹیسٹ میں ماپا جا سکتا ہے جسے کل ٹیسٹوسٹیرون کہتے ہیں۔ یہ ٹیسٹ ظاہر کرتا ہے کہ جسم میں ٹیسٹوسٹیرون کتنا ہے، لیکن یہ نہیں کہ جسم کتنا استعمال کر رہا ہے۔"
SGOT (AST),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"SGOT test, checks how much AST, a liver enzyme, is present in the blood. High levels of AST in the bloodstream could be a sign of liver damage, or cell damage in another organ such as the heart or kidneys.","ایس جی او ٹی ٹیسٹ، یہ جانچتا ہے کہ خون میں جگر کا ایک انزائم کتنا AST موجود ہے۔ خون کے دھارے میں AST کی اعلی سطح جگر کے نقصان کی علامت ہو سکتی ہے، یا کسی دوسرے عضو جیسے دل یا گردے میں سیل کو نقصان پہنچا سکتی ہے۔"
SGPT (ALT),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"SGPT, or the serum glutamic pyruvic transferase, is an essential liver enzyme involved in the normal functioning of the liver. The levels of SGPT in blood tests act as an important biomarker to determine the health of your liver.","ایس جی پی ٹی، یا سیرم گلوٹامک پائروک ٹرانسفراس، جگر کے معمول کے کام میں شامل ایک ضروری جگر کا انزائم ہے۔ خون کے ٹیسٹ میں SGPT کی سطح آپ کے جگر کی صحت کا تعین کرنے کے لیے ایک اہم بائیو مارکر کے طور پر کام کرتی ہے۔"
Sickling Test ,Test,Chem & Immuno,Plasma (EDTA / Purple Tube),,"The sickle cell test looks for the abnormal hemoglobin in the blood that causes the disorder sickle cell disease. These crescent or sickle-shaped red blood cells (RBCs) are present with Sickle cell anemia, and stand out clearly against the normal round RBCs.","سکیل سیل ٹیسٹ خون میں غیر معمولی ہیموگلوبن کو تلاش کرتا ہے جو سکیل سیل کی بیماری کا سبب بنتا ہے۔ یہ ہلال یا درانتی کی شکل کے سرخ خون کے خلیے (RBCs) Sickle cell انیمیا کے ساتھ موجود ہیں، اور عام گول RBCs کے خلاف واضح طور پر کھڑے ہیں۔"
Skin Scraping for Fungus Stain ,Test,Microbiology,Others,,"The skin lesion KOH exam is a simple test that helps doctors identify fungal infections on a person's skin, hair, and nails. When doctors perform a KOH exam, they take a skin scraping, which they then place in a potassium hydroxide (KOH) solution and analyze under a microscope.","جلد کے زخم KOH امتحان ایک سادہ ٹیسٹ ہے جو ڈاکٹروں کو کسی شخص کی جلد، بالوں اور ناخنوں پر فنگل انفیکشن کی نشاندہی کرنے میں مدد کرتا ہے۔ جب ڈاکٹر KOH کا معائنہ کرتے ہیں، تو وہ جلد کو کھرچتے ہیں، جسے وہ پوٹاشیم ہائیڈرو آکسائیڈ (KOH) محلول میں رکھتے ہیں اور ایک خوردبین کے نیچے تجزیہ کرتے ہیں۔"
Slide Request,Test,Histopathology,Others,,"A quality histological slide contains tissue that was properly sampled, fixed, processed, embedded, microtomed, and stained without artifacts. The production of a quality slide requires work be conducted according to the highest standards during each phase of histologic processing.","ایک کوالٹی ہسٹولوجیکل سلائیڈ میں ٹشو ہوتا ہے جو مناسب طریقے سے نمونے، فکسڈ، پروسیسڈ، ایمبیڈڈ، مائیکروٹومڈ، اور نمونے کے بغیر داغے ہوئے تھے۔ معیاری سلائیڈ کی تیاری کے لیے ضروری ہے کہ ہسٹولوجک پروسیسنگ کے ہر مرحلے کے دوران اعلیٰ ترین معیارات کے مطابق کام کیا جائے۔"
Sodium (24 Hours Urine),Test,Chem & Immuno,Urine,,A test for sodium in the urine is a 24-hour test or a one-time (spot) test that checks for how much sodium is in the urine. Sodium is both an electrolyte and a mineral. It helps keep the water (the amount of fluid inside and outside the body's cells) and electrolyte balance of the body.,پیشاب میں سوڈیم کا ٹیسٹ 24 گھنٹے کا ٹیسٹ یا ایک بار (اسپاٹ) ٹیسٹ ہوتا ہے جو یہ جانچتا ہے کہ پیشاب میں سوڈیم کتنا ہے۔ سوڈیم ایک الیکٹرولائٹ اور معدنیات دونوں ہے۔ یہ پانی (جسم کے خلیوں کے اندر اور باہر سیال کی مقدار) اور جسم کے الیکٹرولائٹ توازن کو برقرار رکھنے میں مدد کرتا ہے۔
Sodium (Body Fluid),Test,Chem & Immuno,Body Fluid,,,
Sodium (Serum),Test,Chem & Immuno,Serum (Gel / Yellow Vial),,"A sodium blood test is a routine test that may be used to check your general health. It may be used to help find and monitor conditions that affect the balance of fluids, electrolytes, and acidity in your body.","سوڈیم بلڈ ٹیسٹ ایک معمول کا ٹیسٹ ہے جو آپ کی عام صحت کو جانچنے کے لیے استعمال کیا جا سکتا ہے۔ اس کا استعمال آپ کے جسم میں سیالوں، الیکٹرولائٹس اور تیزابیت کے توازن کو متاثر کرنے والے حالات کو تلاش کرنے اور ان کی نگرانی کے لیے کیا جا سکتا ہے۔"
Sodium (Urine Random/Spot),Test,Chem & Immuno,Urine,,The test is often used to help determine the cause of an abnormal sodium blood level. It also checks whether your kidneys are removing sodium from the body. It may be used to diagnose or monitor many types of kidney diseases,یہ ٹیسٹ اکثر خون میں سوڈیم کی غیر معمولی سطح کی وجہ کا تعین کرنے میں مدد کے لیے استعمال کیا جاتا ہے۔ یہ یہ بھی چیک کرتا ہے کہ آیا آپ کے گردے جسم سے سوڈیم نکال رہے ہیں۔ یہ گردے کی کئی قسم کی بیماریوں کی تشخیص یا نگرانی کے لیے استعمال کیا جا سکتا ہے۔
Special Ag Screening Test,Test,,,,The LumiraDx SARS-CoV-2 Ag Test is a rapid microfluidic immunofluorescence assay for use with the LumiraDx Platform intended for the qualitative detection of the nucleocapsid protein antigen to SARS-CoV-2 directly from anterior nasal swab and nasopharyngeal swab specimens collected from individuals suspected of COVID-19,LumiraDx SARS-CoV-2 Ag ٹیسٹ LumiraDx پلیٹ فارم کے ساتھ استعمال کے لیے ایک تیز مائیکرو فلائیڈک امیونو فلوروسینس پرکھ ہے جس کا مقصد SARS-CoV-2 کے نیوکلیو کیپسڈ پروٹین اینٹیجن کی کوالیٹیٹو پتہ لگانے کے لیے ہے جو براہ راست پچھلے ناک کے جھاڑو سے اور ناسوفرینجیم کے مشتبہ افراد سے جمع کیے گئے ہیں۔ COVID-19 کا
Special Staining (slide x 2) No Report,Test,Histopathology,Others,,"Special stains"" are processes that generally employ a dye or chemical that has an affinity for the particular tissue component that is to be demonstrated. They allow the presence/or absence of certain cell types, structures and/or microorganisms to be viewed microscopically.","خاص داغ"" وہ عمل ہیں جو عام طور پر ایک رنگ یا کیمیکل استعمال کرتے ہیں جس میں مخصوص بافتوں کے جزو سے وابستگی ہوتی ہے جس کا مظاہرہ کیا جانا ہے۔ وہ مخصوص خلیوں کی اقسام، ڈھانچے اور/یا مائکروجنزموں کی موجودگی/یا غیر موجودگی کو خوردبینی طور پر دیکھنے کی اجازت دیتے ہیں۔"
Specific Gravity,Test,Microbiology,Urine,,"The knowledge of specific gravity is needed in calculation of soil properties like void ratio, degree of saturation etc. Specific gravity G is defined as the ratio of the weight of an equal volume of distilled water at that temperature both weights taken in air.","مخصوص کشش ثقل کے علم کی ضرورت مٹی کی خصوصیات جیسے صفر تناسب، سنترپتی کی ڈگری وغیرہ کے حساب سے کی جاتی ہے۔ مخصوص کشش ثقل جی کی تعریف اس درجہ حرارت پر پانی کے مساوی حجم کے وزن کے تناسب کے طور پر کی جاتی ہے جو دونوں وزن ہوا میں لیے جاتے ہیں۔"
Sputum For AFB C/S (Mycobacterium Tuberculosis),Test,Microbiology,Sputum,,Acid-fast Bacilli culture & smear test is one of the TB culture and sensitivity tests where the Mycobacterial infection is diagnosed on the sputum sample.,ایسڈ فاسٹ بیسیلی کلچر اور سمیر ٹیسٹ ٹی بی کلچر اور حساسیت کے ٹیسٹوں میں سے ایک ہے جہاں تھوک کے نمونے پر مائکوبیکٹیریل انفیکشن کی تشخیص کی جاتی ہے۔
